Report Id,Processing Script,Report Code,Switches,Output File,Description,Type,Trading Date,Feed To,Area,Active
BMBS,H_BMBS,H_BMBS,Yes,bmbsextr.csv,BMBS Extract,Report,,,MiddleOffice,Yes
CAD1,H_CAD1_ESTX50,H_CAD1_ESTX50,No,cad1_estx50_0-1m.rsk:cad1_estx50_1-3m.rsk:cad1_estx50_3-6m.rsk:cad1_estx50_6-9m.rsk:cad1_estx50_9m1y.rsk:cad1_estx50_1-2y.rsk:cad1_estx50_2-4y.rsk:cad1_estx50_4ypl.rsk,CAD OSM ESTX50,Report,,cad1,Risk,Yes
CAD1,H_CAD1_FTSE,H_CAD1_FTSE,No,cad1_ftse_0-1m.rsk:cad1_ftse_1-3m.rsk:cad1_ftse_3-6m.rsk:cad1_ftse_6-9m.rsk:cad1_ftse_9m1y.rsk:cad1_ftse_1-2y.rsk:cad1_ftse_2-4y.rsk:cad1_ftse_4ypl.rsk,CAD OSM FTSE,Report,,cad1,Risk,Yes
CAD1,H_CAD1_NASDAQ,H_CAD1_NASDAQ,No,cad1_nasdaq_0-1m.rsk:cad1_nasdaq_1-3m.rsk:cad1_nasdaq_3-6m.rsk:cad1_nasdaq_6-9m.rsk:cad1_nasdaq_9m1y.rsk:cad1_nasdaq_1-2y.rsk:cad1_nasdaq_2-4y.rsk:cad1_nasdaq_4ypl.rsk,CAD OSM NASDAQ,Report,,cad1,Risk,Yes
CAD1,H_CAD1_NIKKEI,H_CAD1_NIKKEI,No,cad1_nikkei_0-1m.rsk:cad1_nikkei_1-3m.rsk:cad1_nikkei_3-6m.rsk:cad1_nikkei_6-9m.rsk:cad1_nikkei_9m1y.rsk:cad1_nikkei_1-2y.rsk:cad1_nikkei_2-4y.rsk:cad1_nikkei_4ypl.rsk,CAD OSM NIKKEI,Report,,cad1,Risk,Yes
CAD1,H_CAD1_SMI,H_CAD1_SMI,No,cad1_smi_0-1m.rsk:cad1_smi_1-3m.rsk:cad1_smi_3-6m.rsk:cad1_smi_6-9m.rsk:cad1_smi_9m1y.rsk:cad1_smi_1-2y.rsk:cad1_smi_2-4y.rsk:cad1_smi_4ypl.rsk,CAD OSM SMI,Report,,cad1,Risk,Yes
CAD1,H_CAD1_SP500,H_CAD1_SP500,No,cad1_sp500_0-1m.rsk:cad1_sp500_1-3m.rsk:cad1_sp500_3-6m.rsk:cad1_sp500_6-9m.rsk:cad1_sp500_9m1y.rsk:cad1_sp500_1-2y.rsk:cad1_sp500_2-4y.rsk:cad1_sp500_4ypl.rsk,CAD OSM SP500,Report,,cad1,Risk,Yes
FXCAD,H_FXCAD,H_FXCAD,No,fxcosm1.csv:fxcosm2.csv:fxcosm3.csv:fxcosm4.csv:fxcosm5.csv:fxcosm6.csv:fxcosm7.csv:fxcosm8.csv:fxcadde.csv,FX CADs,Report&Feed,,cad1,Risk,Yes
DIV_YLD,H_DIV_YLD,H_DIV_YLD,Yes,divyld.csv,Dividend Yield Extract,Report,,,MiddleOffice,Yes
FX_BARR,H_FX_OSGBARR,OSG_FXBARR,Yes,osg_fxbarr.rsk,FX Barrier Grid (topo),Report,,,Risk,Yes
FX_GRKS,H_FX_GREEKS,C_OPHB2,Yes,fxo_grk.csv,FX Options Greeks,Feed&Report,,gl:mktrisk,Risk,Yes
FX_LADD,H_FX_LADDER,FX_LADDER,Yes,fxladderh.rsk:fxladderb.rsk,FX Delta / Gamma Ladder (RM),Report,,,Risk,Yes
FX_OSG,H_FX_OSG1,E_TOPOHB2,Yes,osg_fxo.rsk,FX Strike Grids and Greek Ladders (topo),Report,,,Risk,Yes
FX_OSM1,H_FX_OSM1,OSM_FX1,Yes,osm_fx1h.rsk:osm_fx1b.rsk,FX OSM1,Report,,,Risk,Yes
FX_OSM2,H_FX_OSM2,OSM_FX2,Yes,osm_fx2h.rsk:osm_fx2b.rsk,FX OSM2,Report,,,Risk,Yes
FX_STRESS,H_FX_OSMSTRESS,FX_STRESS,Yes,,FX Stress Test,Report,,,Risk,Yes
FX_VEGA,H_FX_OSGVEGA,FX_VEGA,Yes,,FX Vega Ladder,Report,,,Risk,Yes
FX_YLD,H_FXYLD,H_FXYLD,Yes,yldfxdyt.csv,FX Yield Curve Extract,Report,,,MiddleOffice,Yes
HISTCASH,H_HISTCASH,G_CMMV_hb2,No,histcash.csv,Historical Cash Report,Feed&Report,,mktrisk,Risk,Yes
MO1,H_TRAD_PL1,H_TRAD_PL1,Yes,trad_pl1.csv,Trade P&L Extract for EQD OTC options,,,,MiddleOffice,Yes
MO1,H_TRAD_PL2,H_TRAD_PL2,Yes,trad_pl2.csv,Trade P&L Extract for EQD ORG Options,,,,MiddleOffice,Yes
MO1,H_TRAD_PL4,H_TRAD_PL4,Yes,trad_pl4.csv,Trade P&L Extract for Interest Rate Swaps,,,,MiddleOffice,Yes
MO1,H_TRAD_PL6,H_TRAD_PL6,Yes,trad_pl6.csv,Trade P&L Extract for Equity Futures,,,,MiddleOffice,Yes
MO1,H_TRAD_PL7,H_TRAD_PL7,Yes,trad_pl7.csv,Trade P&L Extract for Short Futures,,,,MiddleOffice,Yes
MO1_1,H_TRAD_PL10,H_TRAD_PL10,Yes,trad_pl10.csv,Trade P&L Extract ,,,,MiddleOffice,Yes
